# SLAM - pose_x pose_y orientation time
0 4.25763086742 12.9179297321 3.097693826514307 1504013871.19
1 5.53065822806 12.7532502328 2.730074497883117 1504013885.81
2 6.74957972959 12.2399322438 2.4525937034317575 1504013900.09
3 7.67321730357 11.5773025899 2.343545200625833 1504013911.47
4 8.28569178996 10.8847795884 2.2489490402618317 1504013920.87
5 8.6128310772 10.5400854304 2.1775727424480245 1504013925.72
6 9.2675373009 9.62424892751 1.990447150037645 1504013937.38
7 9.86810882302 8.12695446518 1.8485839862221654 1504013953.63
8 10.246007038 6.67343309828 1.8994527700447943 1504013968.76
9 10.6683385375 5.37147562376 2.1033218093748713 1504013982.88
10 11.2196561094 4.39567902099 2.368015516972256 1504013994.96
11 12.0993492942 3.57727651684 2.7674996554989653 1504014009.32
12 13.2415309883 2.98480910387 3.071372422445519 1504014023.42
13 14.5715548579 2.76413335094 3.1017579404853337 1504014037.05
14 15.6884493163 2.68722528114 3.0893484380919216 1504014048.3
15 17.0410944067 2.58979184315 3.0910371412009856 1504014061.97


# GT - pose_x pose_y orientation time
0 4.2596 12.9177 3.0973 1504013871.2064772
1 5.5267 12.6385 2.7284 1504013885.7879806
2 6.6496 11.9232 2.4452 1504013900.0705495
3 7.4692 11.1468 2.3336 1504013911.4675364
4 8.0761 10.4465 2.2387 1504013920.887628
5 8.3529 10.0677 2.17 1504013925.750555
6 8.9039 9.0914 1.9876 1504013937.387128
7 9.4297 7.5771 1.8498 1504013953.6451657
8 9.8483 6.1246 1.9025 1504013968.7663345
9 10.4049 4.884 2.1139 1504013982.8679848
10 11.0955 3.9965 2.3715 1504013994.9861283
11 12.1407 3.2978 2.7702 1504014009.32538
12 13.4221 3.0253 3.0709 1504014023.4300008
13 14.7817 2.9722 3.1 1504014037.0427446
14 15.8961 2.9154 3.0883 1504014048.3227186
15 17.2543 2.8317 3.0901 1504014061.9442244


# Displacement and sum
0 0.013861001379439353 0.013861001379439353
6 0.008776848830543527 0.02263785020998288
12 -0.007787137162748925 0.014850713047233954
17 0.0021794567767593476 0.017030169823993302
21 -0.006063784853501952 0.01096638497049135
23 -0.004732888216255837 0.006233496754235512
28 -0.01026252635930569 -0.004029029605070178
35 0.009773084874895588 0.00574405526982541
42 -0.009003261098578408 -0.003259205828752998
48 0.0037654205654407136 0.0005062147366877157
53 0.055712131469543236 0.05621834620623095
59 0.023354367744571336 0.07957271395080229
65 0.012429840194268627 0.09200255414507091
71 -0.0036926432833632727 0.08830991086170764
76 0.004626888336878299 0.09293679919858594
82 0 0.09293679919858594


# Displacement abs and sum
0 0.013861001379439353 0.013861001379439353
6 0.008776848830543527 0.02263785020998288
12 0.007787137162748925 0.030424987372731804
17 0.0021794567767593476 0.03260444414949115
21 0.006063784853501952 0.038668229002993104
23 0.004732888216255837 0.04340111721924894
28 0.01026252635930569 0.05366364357855463
35 0.009773084874895588 0.06343672845345022
42 0.009003261098578408 0.07243998955202863
48 0.0037654205654407136 0.07620541011746934
53 0.055712131469543236 0.13191754158701258
59 0.023354367744571336 0.1552719093315839
65 0.012429840194268627 0.16770174952585254
71 0.0036926432833632727 0.1713943928092158
76 0.004626888336878299 0.1760212811460941
82 0 0.1760212811460941


# Distance slam gt
0 0.00198248832414931 0.1760212811460941
6 0.11481848064239868 0.1760212811460941
12 0.33213741221288584 0.1760212811460941
17 0.4763985097232999 0.1760212811460941
21 0.48581654564939447 0.1760212811460941
23 0.5391772989922188 0.1760212811460941
28 0.6451046939485047 0.1760212811460941
35 0.7032369650268437 0.1760212811460941
42 0.677782161053504 0.1760212811460941
48 0.5541049961878528 0.1760212811460941
53 0.41804142175133796 0.1760212811460941
59 0.28251903358035374 0.1760212811460941
65 0.18505318331692006 0.1760212811460941
71 0.2957240456900426 0.1760212811460941
76 0.3085166264043444 0.1760212811460941
82 0.32245337859133855 0.1760212811460941


# Displacement mean and std deviation
0.005808549949911621 0.015789185598120207

# Displacement mean absolute value and std deviation
0.011001330071630882 0.012728250902128497

# Distance to GT
0.32245337859133855
